,datetime,code,price,quantity,info,value
145,2018-07-02 09:15:00,05Jul201826400PE,201.4,-25,First trade,5035.0
146,2018-07-02 12:17:00,05Jul201826400CE,67.6,25,stoploss breached,-1689.9999999999998
147,2018-07-02 12:17:00,05Jul201826400PE,314.1,25,stoploss breached,-7852.500000000001
148,2018-07-03 09:15:00,05Jul201826300CE,103.4,-25,First trade,2585.0
149,2018-07-03 09:15:00,05Jul201826300PE,195.0,-25,First trade,4875.0
150,2018-07-03 15:15:00,05Jul201826300CE,111.0,25,End of Day reached,-2775.0
151,2018-07-03 15:15:00,05Jul201826300PE,149.55,25,End of day reached,-3738.7500000000005
152,2018-07-04 09:15:00,05Jul201826300CE,84.45,-25,First trade,2111.25
153,2018-07-04 09:15:00,05Jul201826300PE,164.7,-25,First trade,4117.5
154,2018-07-04 15:15:00,05Jul201826300CE,184.1,25,End of Day reached,-4602.5
155,2018-07-04 15:15:00,05Jul201826300PE,23.3,25,End of day reached,-582.5
156,2018-07-06 09:15:00,12Jul201826500CE,149.3,-25,First trade,3732.5000000000005
157,2018-07-06 09:15:00,12Jul201826500PE,187.7,-25,First trade,4692.5
158,2018-07-06 15:15:00,12Jul201826500CE,163.8,25,End of Day reached,-4095.0000000000005
159,2018-07-06 15:15:00,12Jul201826500PE,148.15,25,End of day reached,-3703.75
160,2018-07-11 09:15:00,12Jul201827000CE,39.35,-25,First trade,983.75
161,2018-07-11 09:15:00,12Jul201827000PE,197.75,-25,First trade,4943.75
162,2018-07-11 11:07:00,12Jul201827000CE,36.25,25,stoploss breached,-906.25
163,2018-07-11 11:07:00,12Jul201827000PE,202.2,25,stoploss breached,-5055.0
164,2018-07-12 09:16:00,12Jul201827000CE,48.5,-25,First trade,1212.5
165,2018-07-12 09:16:00,12Jul201827000PE,73.3,-25,First trade,1832.5
166,2018-07-12 09:24:00,12Jul201827000CE,86.25,25,stoploss breached,-2156.25
167,2018-07-12 09:24:00,12Jul201827000PE,49.35,25,stoploss breached,-1233.75
168,2018-07-13 09:15:00,19Jul201827100CE,138.2,-25,First trade,3454.9999999999995
169,2018-07-13 09:15:00,19Jul201827100PE,214.2,-25,First trade,5355.0
170,2018-07-13 15:15:00,19Jul201827100CE,113.4,25,End of Day reached,-2835.0
