,datetime,code,price,quantity,info,value
134,2018-06-11 15:15:00,14Jun201826500CE,139.75,25,End of Day reached pnl: 1112.5,-3493.75
135,2018-06-11 15:15:00,14Jun201826500PE,192.5,25,End of day reached pnl: 1112.5,-4812.5
136,2018-06-12 09:16:00,14Jun201826600CE,122.9,-25,pnl: 0,3072.5
137,2018-06-12 09:16:00,14Jun201826600PE,209.15,-25,pnl: 0,5228.75
138,2018-06-12 15:15:00,14Jun201826600CE,135.1,25,End of Day reached pnl: 842.5,-3377.5
139,2018-06-12 15:15:00,14Jun201826600PE,163.25,25,End of day reached pnl: 842.5,-4081.25
140,2018-06-13 09:16:00,14Jun201826700CE,107.7,-25,pnl: 0,2692.5
141,2018-06-13 09:16:00,14Jun201826700PE,179.5,-25,pnl: 0,4487.5
142,2018-06-13 15:16:00,14Jun201826700CE,85.15,25,End of Day reached pnl: 1420.0,-2128.75
143,2018-06-13 15:16:00,14Jun201826700PE,145.25,25,End of day reached pnl: 1420.0,-3631.25
144,2018-06-14 09:16:00,14Jun201826600CE,68.3,-25,pnl: 0,1707.5
145,2018-06-14 09:16:00,14Jun201826600PE,98.35,-25,pnl: 0,2458.75
146,2018-06-14 15:15:00,14Jun201826600CE,1.3,25,End of Day reached pnl: 3407.5,-32.5
147,2018-06-14 15:15:00,14Jun201826600PE,29.05,25,End of day reached pnl: 3407.5,-726.25
148,2018-06-15 09:16:00,21Jun201826500CE,197.9,-25,pnl: 0,4947.5
149,2018-06-15 09:16:00,21Jun201826500PE,182.0,-25,pnl: 0,4550.0
150,2018-06-15 15:15:00,21Jun201826500CE,128.75,25,End of Day reached pnl: 840.0,-3218.75
151,2018-06-15 15:15:00,21Jun201826500PE,217.55,25,End of day reached pnl: 840.0,-5438.75
152,2018-06-18 09:16:00,21Jun201826400CE,139.6,-25,pnl: 0,3490.0
153,2018-06-18 09:16:00,21Jun201826400PE,184.95,-25,pnl: 0,4623.75
154,2018-06-18 15:15:00,21Jun201826400CE,134.55,25,End of Day reached pnl: 824.9999999999995,-3363.7500000000005
155,2018-06-18 15:15:00,21Jun201826400PE,157.0,25,End of day reached pnl: 824.9999999999995,-3925.0
156,2018-06-19 09:16:00,21Jun201826400CE,96.75,-25,pnl: 0,2418.75
157,2018-06-19 09:16:00,21Jun201826400PE,196.45,-25,pnl: 0,4911.25
158,2018-06-19 15:15:00,21Jun201826400CE,70.5,25,End of Day reached pnl: 392.5,-1762.5
159,2018-06-19 15:15:00,21Jun201826400PE,207.0,25,End of day reached pnl: 392.5,-5175.0
160,2018-06-20 09:16:00,21Jun201826300CE,125.65,-25,pnl: 0,3141.25
161,2018-06-20 09:16:00,21Jun201826300PE,107.15,-25,pnl: 0,2678.75
162,2018-06-20 11:00:00,21Jun201826300CE,186.65,25,stoploss breached pnl: -38.75,-4666.25
163,2018-06-20 11:00:00,21Jun201826300PE,47.7,25,stoploss breached pnl: -38.75,-1192.5
